PROVEEDOR;REFERENCIA;COP METRO;USD METER;MUESTRARIO;T&C Traje 2P;T&C Traje 3P;T&C Pantalon;T&C Saco ;T&C Chaleco;T&C Camisa L2;PVC Traje 2;PVC Traje 3p;PVC PANTALON;PVC Saco;PVC Camisa;PVC Accesorios;PVP Traje 2P USD;PVP Traje 3P USD;PVP Pantalon USD;PVP Saco USD;PVP Camisa USD;PVP Accesorios USD;;;;;;;
DYSATEX;TIRRENO 700-116 - 700-120;145787;44,17787879;ALBINI;0;0;0;0;0;323416,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;DOBBY 73-119;179093;54,27060606;ALBINI;0;0;0;0;0;383367,4;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;LA;36270;10,99090909;LINO;516064;645080;137151;378913;139016;126286;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;L0;31530;9,554545455;LINO;500896;626120;130989;369907;135224;117754;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;L1;37271;11,29424242;LINO;519267,2;649084;138452,3;380814,9;139816,8;128087,8;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;L2;49777;15,08393939;LINO;559286,4;699108;154710,1;404576,3;149821,6;150598,6;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;L2A;53530;16,22121212;LINO;571296;714120;159589;411707;152824;157354;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;L3;62284;18,87393939;LINO;599308,8;749136;170969,2;428339,6;159827,2;173111,2;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;L3A;65036;19,70787879;LINO;608115,2;760144;174546,8;433568,4;162028,8;178064,8;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;L4;70039;21,22393939;LINO;624124,8;780156;181050,7;443074,1;166031,2;187070,2;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;L5;76042;23,0430303;LINO;643334,4;804168;188854,6;454479,8;170833,6;197875,6;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;LT;66774;20,23454545;LINO;613676,8;767096;176806,2;436870,6;163419,2;181193,2;1600000;2080000;560000;1200000;380000;;520;676;182;390;0;0;;;;;;;
DYSATEX;683;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;685-15 / 685-31;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;500;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
DYSATEX;510;30613;9,276666667;DONNA;497961,6;622452;129796,9;368164,7;134490,4;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
